humidity,acceleration_z,temperature,acceleration,data_format,acceleration_y,pressure,acceleration_x,battery,time,device_mac
43.0,1036,22.76,1036.2480398051423,3,-15,996.71,17,3121,2019-09-29T00:00:06.988738,E4:49:12:58:E8:AF
43.0,1036,22.75,1036.2789199824533,3,-17,996.61,17,3133,2019-09-29T00:05:06.434699,E4:49:12:58:E8:AF
43.0,1046,22.75,1046.2915463674549,3,-13,996.56,21,3133,2019-09-29T00:10:07.835931,E4:49:12:58:E8:AF
43.0,1038,22.74,1038.2952373963776,3,-18,996.45,17,3133,2019-09-29T00:15:06.265418,E4:49:12:58:E8:AF
43.0,1037,22.74,1037.2338212765721,3,-17,996.34,14,3127,2019-09-29T00:20:06.665911,E4:49:12:58:E8:AF
43.0,1034,22.73,1034.2475525714335,3,-16,996.32,16,3133,2019-09-29T00:25:07.110366,E4:49:12:58:E8:AF
43.0,1036,22.73,1036.2977371392838,3,-19,996.29,16,3127,2019-09-29T00:30:06.577026,E4:49:12:58:E8:AF
43.0,1038,22.72,1038.2177035670313,3,-16,996.27,14,3133,2019-09-29T00:35:06.985945,E4:49:12:58:E8:AF
43.0,1040,22.71,1040.2619862323145,3,-16,996.24,17,3121,2019-09-29T00:40:06.435536,E4:49:12:58:E8:AF
43.0,1039,22.71,1039.2473237877498,3,-15,996.24,17,3121,2019-09-29T00:45:06.830843,E4:49:12:58:E8:AF
43.0,1039,22.7,1039.2502104883117,3,-14,996.17,18,3139,2019-09-29T00:50:06.300822,E4:49:12:58:E8:AF
43.0,1037,22.7,1037.2955220186773,3,-18,996.06,17,3121,2019-09-29T00:55:06.789042,E4:49:12:58:E8:AF
43.0,1037,22.7,1037.20489779021,3,-16,996.0,13,3133,2019-09-29T01:00:06.288840,E4:49:12:58:E8:AF
43.0,1034,22.69,1034.3132987639674,3,-18,995.97,18,3127,2019-09-29T01:05:07.720439,E4:49:12:58:E8:AF
43.0,1037,22.69,1037.2825073238246,3,-15,995.92,19,3127,2019-09-29T01:10:07.115667,E4:49:12:58:E8:AF
43.0,1036,22.69,1036.3213787238012,3,-21,995.81,15,3133,2019-09-29T01:15:06.520520,E4:49:12:58:E8:AF
43.0,1034,22.69,1034.3877416133662,3,-21,995.81,19,3127,2019-09-29T01:20:06.934944,E4:49:12:58:E8:AF
43.0,1035,22.68,1035.2381368554773,3,-18,995.79,13,3133,2019-09-29T01:25:06.406558,E4:49:12:58:E8:AF
43.0,1041,22.68,1041.294386809033,3,-17,995.74,18,3133,2019-09-29T01:30:06.792562,E4:49:12:58:E8:AF
43.0,1036,22.68,1036.2827799399158,3,-15,995.71,19,3133,2019-09-29T01:35:06.242695,E4:49:12:58:E8:AF
43.0,1035,22.67,1035.2183344589682,3,-16,995.72,14,3133,2019-09-29T01:40:07.555592,E4:49:12:58:E8:AF
43.0,1034,22.67,1034.2185455695521,3,-16,995.66,14,3133,2019-09-29T01:45:10.021946,E4:49:12:58:E8:AF
43.0,1035,22.67,1035.3327967373582,3,-20,995.63,17,3139,2019-09-29T01:50:06.420579,E4:49:12:58:E8:AF
43.0,1040,22.67,1040.340809542719,3,-22,995.64,15,3133,2019-09-29T01:55:07.829966,E4:49:12:58:E8:AF
43.0,1036,22.67,1036.2798849731669,3,-18,995.62,16,3127,2019-09-29T02:00:06.222638,E4:49:12:58:E8:AF
43.0,1040,22.66,1040.1538347763758,3,-16,995.54,8,3133,2019-09-29T02:05:06.694629,E4:49:12:58:E8:AF
43.0,1040,22.66,1040.3480186937445,3,-18,995.47,20,3133,2019-09-29T02:10:07.082819,E4:49:12:58:E8:AF
43.0,1037,22.66,1037.2208058075194,3,-17,995.39,13,3133,2019-09-29T02:15:06.454499,E4:49:12:58:E8:AF
43.0,1038,22.65,1038.2552672633065,3,-19,995.41,13,3127,2019-09-29T02:20:06.992574,E4:49:12:58:E8:AF
43.0,1038,22.65,1038.2335960659336,3,-17,995.34,14,3127,2019-09-29T02:25:06.490045,E4:49:12:58:E8:AF
43.0,1041,22.65,1041.2674968517936,3,-19,995.24,14,3133,2019-09-29T02:30:07.973559,E4:49:12:58:E8:AF
43.0,1043,22.65,1043.3283279965133,3,-19,995.2,18,3133,2019-09-29T02:35:06.371603,E4:49:12:58:E8:AF
43.0,1036,22.64,1036.262997505942,3,-17,995.17,16,3121,2019-09-29T02:40:06.852577,E4:49:12:58:E8:AF
43.0,1037,22.64,1037.2145390419478,3,-18,995.15,11,3127,2019-09-29T02:45:08.285803,E4:49:12:58:E8:AF
43.0,1039,22.63,1039.2790770529348,3,-16,995.1,18,3139,2019-09-29T02:50:07.881003,E4:49:12:58:E8:AF
43.0,1037,22.63,1037.2627439564192,3,-16,995.03,17,3127,2019-09-29T02:55:07.224857,E4:49:12:58:E8:AF
43.0,1035,22.63,1035.3168597101082,3,-20,994.98,16,3127,2019-09-29T03:00:06.559312,E4:49:12:58:E8:AF
42.5,1032,22.63,1032.2969534005222,3,-17,994.96,18,3127,2019-09-29T03:05:07.047086,E4:49:12:58:E8:AF
42.5,1037,22.62,1037.316248788189,3,-20,994.95,16,3127,2019-09-29T03:10:07.615652,E4:49:12:58:E8:AF
42.5,1036,22.62,1036.2958071902058,3,-17,994.96,18,3127,2019-09-29T03:15:06.933196,E4:49:12:58:E8:AF
42.5,1034,22.62,1034.2635060757002,3,-16,994.94,17,3121,2019-09-29T03:20:06.481793,E4:49:12:58:E8:AF
42.5,1040,22.62,1040.3480186937445,3,-18,994.87,20,3133,2019-09-29T03:25:06.905423,E4:49:12:58:E8:AF
42.5,1033,22.62,1033.3145697221153,3,-19,994.72,17,3133,2019-09-29T03:30:06.329945,E4:49:12:58:E8:AF
42.5,1033,22.61,1033.283600953775,3,-19,994.69,15,3127,2019-09-29T03:35:06.901767,E4:49:12:58:E8:AF
42.5,1036,22.61,1036.2340469218332,3,-17,994.62,14,3127,2019-09-29T03:40:07.330276,E4:49:12:58:E8:AF
42.5,1040,22.61,1040.2965923235547,3,-16,994.62,19,3133,2019-09-29T03:45:06.884083,E4:49:12:58:E8:AF
42.5,1032,22.61,1032.233016329162,3,-16,994.53,15,3133,2019-09-29T03:50:06.168528,E4:49:12:58:E8:AF
42.5,1039,22.6,1039.3353645479403,3,-21,994.47,16,3133,2019-09-29T03:55:06.627824,E4:49:12:58:E8:AF
42.5,1037,22.6,1037.3321550978742,3,-20,994.43,17,3133,2019-09-29T04:00:07.020061,E4:49:12:58:E8:AF
42.5,1035,22.6,1035.2323410713173,3,-16,994.4,15,3133,2019-09-29T04:05:06.531885,E4:49:12:58:E8:AF
42.5,1037,22.6,1037.1899536729036,3,-13,994.38,15,3121,2019-09-29T04:10:07.974658,E4:49:12:58:E8:AF
42.5,1040,22.6,1040.2639088231408,3,-15,994.37,18,3121,2019-09-29T04:15:06.414428,E4:49:12:58:E8:AF
42.5,1038,22.6,1038.2475620005087,3,-17,994.31,15,3133,2019-09-29T04:20:07.047960,E4:49:12:58:E8:AF
42.5,1036,22.6,1036.394712452741,3,-23,994.27,17,3127,2019-09-29T04:25:10.535835,E4:49:12:58:E8:AF
42.5,1040,22.59,1040.4042483573392,3,-21,994.23,20,3127,2019-09-29T04:30:07.013143,E4:49:12:58:E8:AF
42.5,1036,22.59,1036.2210188951003,3,-17,994.18,13,3133,2019-09-29T04:35:07.516478,E4:49:12:58:E8:AF
42.5,1041,22.59,1041.2199575497964,3,-17,994.13,13,3133,2019-09-29T04:40:06.968772,E4:49:12:58:E8:AF
42.5,1038,22.59,1038.2177035670313,3,-16,994.09,14,3121,2019-09-29T04:45:10.502530,E4:49:12:58:E8:AF
42.5,1035,22.59,1035.3308649895453,3,-19,994.04,18,3127,2019-09-29T04:50:07.893928,E4:49:12:58:E8:AF
42.5,1032,22.59,1032.2480322093136,3,-16,993.97,16,3133,2019-09-29T04:55:07.316628,E4:49:12:58:E8:AF
42.5,1037,22.58,1037.2627439564192,3,-16,993.95,17,3133,2019-09-29T05:00:06.683054,E4:49:12:58:E8:AF
42.5,1038,22.58,1038.2254090514257,3,-12,993.89,18,3133,2019-09-29T05:05:07.212234,E4:49:12:58:E8:AF
42.5,1039,22.58,1039.2819636652991,3,-19,993.81,15,3133,2019-09-29T05:10:06.736940,E4:49:12:58:E8:AF
42.5,1039,22.58,1039.3127536983272,3,-19,993.8,17,3133,2019-09-29T05:15:07.114233,E4:49:12:58:E8:AF
42.5,1035,22.57,1035.296092912554,3,-17,993.76,18,3127,2019-09-29T05:20:06.587227,E4:49:12:58:E8:AF
42.5,1039,22.57,1039.2314467913295,3,-15,993.71,16,3139,2019-09-29T05:25:07.927935,E4:49:12:58:E8:AF
42.5,1040,22.57,1040.2946697931313,3,-18,993.67,17,3133,2019-09-29T05:30:06.362165,E4:49:12:58:E8:AF
42.5,1036,22.57,1036.264927516125,3,-18,993.7,15,3133,2019-09-29T05:35:07.872121,E4:49:12:58:E8:AF
42.5,1036,22.56,1036.3787917552154,3,-23,993.73,16,3133,2019-09-29T05:40:06.377118,E4:49:12:58:E8:AF
42.5,1033,22.56,1033.2637610987815,3,-17,993.72,16,3127,2019-09-29T05:45:06.857291,E4:49:12:58:E8:AF
42.5,1034,22.56,1034.2214463063508,3,-17,993.76,13,3121,2019-09-29T05:50:07.286163,E4:49:12:58:E8:AF
42.5,1038,22.56,1038.2177035670313,3,-16,993.78,14,3121,2019-09-29T05:55:06.721631,E4:49:12:58:E8:AF
